Shape_Leng;Shape_Area;ADM2_EN;ADM2_PCODE;DATA
3.38399428782;0.21528591914;Timor Tengah Utara;ID5305;
2.24890866330;0.09239570355;Belu;ID5306;
5.51309704820;0.24163026677;Alor;ID5307;
3.16879930764;0.10337476098;Lembata;ID5308;
4.61756101886;0.14351842204;Flores Timur;ID5309;
3.80213741413;0.13921950265;Sikka;ID5310;
2.94761508390;0.16988081476;Ende;ID5311;
2.40609919602;0.14072849447;Ngada;ID5312;
2.56023696721;0.11018170648;Manggarai;ID5313;
4.54848176853;0.10628380661;Rote Ndao;ID5314;
10.61239610340;0.25757490729;Manggarai Barat;ID5315;
2.45842710050;0.14941878464;Sumba Tengah;ID5316;
1.60161811920;0.11576168563;Sumba Barat Daya;ID5317;
2.02595244503;0.11604874147;Nagekeo;ID5318;
2.60692756872;0.19723355376;Manggarai Timur;ID5319;
1.22441354377;0.03807895284;Sabu Raijua;ID5320;
2.17759599104;0.09191364198;Malaka;ID5321;
0.75156683097;0.01282806310;Kota Kupang;ID5371;
4.05746145966;0.47278809027;Sambas;ID6101;
5.39873885573;0.45768141210;Bengkayang;ID6102;
5.27010665368;0.67049358944;Landak;ID6103;
2.65992506145;0.16263956823;Mempawah;ID6104;
7.09565481834;1.03643402759;Sanggau;ID6105;
12.00220096090;2.41756673813;Ketapang;ID6106;
10.81143934360;1.81988565029;Sintang;ID6107;
9.77681500212;2.52838890036;Kapuas Hulu;ID6108;
4.16817342242;0.46316234690;Sekadau;ID6109;
5.12493967354;0.81447726300;Melawi;ID6110;
6.60956757220;0.37533987649;Kayong Utara;ID6111;
12.55027876420;0.69852165770;Kubu Raya;ID6112;
0.72058901116;0.00880906418;Kota Pontianak;ID6171;
1.01021760763;0.03664185132;Kota Singkawang;ID6172;
5.71449557133;0.68153662934;Kotawaringin Barat;ID6201;
5.97686012706;1.27636522346;Kotawaringin Timur;ID6202;
8.84853098074;1.40609691519;Kapuas;ID6203;
4.51849768495;0.53920147781;Barito Selatan;ID6204;
5.21434278126;0.80719578141;Barito Utara;ID6205;
3.33055603467;0.26702817212;Sukamara;ID6206;
3.65022170144;0.59499889671;Lamandau;ID6207;
8.29672543000;1.35050223405;Seruyan;ID6208;
9.21119016326;1.57703752913;Katingan;ID6209;
5.42685375444;0.79222211421;Pulang Pisau;ID6210;
3.98481399049;0.82087278620;Gunung Mas;ID6211;
2.53264157834;0.26766161870;Barito Timur;ID6212;
7.97154372672;1.93887884404;Murung Raya;ID6213;
2.45129891053;0.21154105335;Kota Palangka Raya;ID6271;
2.97497654653;0.31281459175;Tanah Laut;ID6301;
19.96637561520;0.74630594110;Kota Baru;ID6302;
4.69110384194;0.38450144975;Banjar;ID6303;
3.05831256188;0.19360815281;Barito Kuala;ID6304;
2.65375162774;0.17826050500;Tapin;ID6305;
2.20190580597;0.13802150263;Hulu Sungai Selatan;ID6306;
2.03625353401;0.13524504996;Hulu Sungai Tengah;ID6307;
1.41368167085;0.07241085949;Hulu Sungai Utara;ID6308;
3.60141420803;0.25680602124;Tabalong;ID6309;
3.65735031721;0.38294373126;Tanah Bumbu;ID6310;
2.10694585946;0.15467417306;Balangan;ID6311;
0.49840846754;0.00796612847;Kota Banjarmasin;ID6371;
0.89029859660;0.02632055356;Kota Banjar Baru;ID6372;
6.73746530356;0.86323515060;Paser;ID6401;
4.87448373223;1.10993028796;Kutai Barat;ID6402;
32.64601731920;2.04897191885;Kutai Kartanegara;ID6403;
13.74813782090;2.55581213287;Kutai Timur;ID6404;
18.41275996710;1.83145186729;Berau;ID6405;
2.65595126214;0.26276449265;Penajam Paser Utara;ID6409;
8.98069010971;1.47223886069;Mahakam Hulu;ID6411;
1.02520958481;0.04406031284;Kota Balikpapan;ID6471;
1.27211861297;0.05885784702;Kota Samarinda;ID6472;
1.52507686594;0.01345230787;Kota Bontang;ID6474;
12.28766167450;3.24579256926;Malinau;ID6501;
18.16509118740;1.03389263276;Bulungan;ID6502;
9.38436013419;0.23748804624;Tana Tidung;ID6503;
14.23343332480;1.15508882959;Nunukan;ID6504;
0.72303370130;0.02042378437;Kota Tarakan;ID6571;
3.39680244353;0.26304366115;Bolaang Mongondow;ID7101;
2.95436435224;0.09025278220;Minahasa;ID7102;
